iter	Passed	Remaining
0	2	296
1	5	265
2	8	265
3	10	249
4	13	247
5	15	240
6	17	230
7	19	227
8	22	227
9	25	225
10	27	224
11	30	221
12	32	219
13	34	214
14	36	209
15	39	207
16	41	204
17	44	201
18	46	198
19	49	196
20	50	190
21	53	188
22	55	184
23	57	181
24	59	179
25	62	176
26	65	175
27	66	171
28	68	168
29	70	165
30	73	162
31	75	161
32	79	161
33	82	160
34	85	158
35	88	156
36	91	155
37	93	152
38	95	149
39	98	147
40	101	145
41	102	141
42	105	139
43	107	136
44	109	133
45	111	131
46	114	128
47	116	126
48	119	123
49	121	121
50	124	119
51	127	117
52	130	115
53	132	112
54	134	109
55	136	107
56	138	104
57	141	102
58	143	99
59	146	97
60	148	94
61	150	92
62	153	89
63	155	87
64	158	85
65	160	82
66	162	80
67	165	77
68	168	75
69	170	73
70	173	70
71	174	68
72	177	65
73	179	63
74	182	60
75	184	58
76	186	55
77	189	53
78	191	50
79	194	48
80	196	46
81	199	43
82	201	41
83	204	38
84	206	36
85	209	34
86	211	31
87	214	29
88	217	26
89	219	24
90	221	21
91	224	19
92	226	17
93	229	14
94	231	12
95	233	9
96	236	7
97	238	4
98	240	2
99	242	0
