iter	Passed	Remaining
0	140	140558
1	143	71582
2	145	48431
3	147	36833
4	149	29811
5	152	25331
6	154	21876
7	155	19287
8	157	17326
9	159	15778
10	163	14694
11	165	13630
12	167	12725
13	169	11924
14	171	11232
15	172	10599
16	173	10041
17	176	9621
18	178	9210
19	180	8849
20	182	8493
21	183	8168
22	184	7853
23	186	7579
24	187	7320
25	189	7099
26	190	6880
27	193	6700
28	194	6526
29	196	6355
30	198	6198
31	213	6451
32	214	6287
33	216	6143
34	217	6003
35	219	5890
36	221	5764
37	223	5648
38	224	5525
39	226	5445
40	228	5347
41	229	5244
42	231	5144
43	232	5056
44	234	4978
45	236	4904
46	237	4825
47	239	4741
48	240	4672
49	242	4601
50	243	4535
51	245	4469
52	247	4416
53	248	4358
54	250	4298
55	252	4250
56	254	4202
57	258	4193
58	260	4147
59	261	4099
60	263	4054
61	266	4028
62	268	3988
63	269	3940
64	270	3894
65	272	3849
66	273	3812
67	275	3779
68	277	3743
69	279	3710
70	280	3674
71	283	3653
72	285	3622
73	286	3589
74	287	3551
75	289	3516
76	290	3485
77	292	3457
78	294	3431
79	297	3415
80	298	3384
81	299	3353
82	300	3317
83	301	3287
84	302	3257
85	303	3230
86	305	3206
87	308	3198
88	310	3181
89	312	3159
90	314	3139
91	315	3115
92	317	3091
93	318	3067
94	319	3044
95	320	3022
96	322	3002
97	324	2990
98	326	2971
99	327	2951
100	329	2934
101	331	2915
102	332	2896
103	334	2877
104	335	2862
105	337	2845
106	339	2837
107	341	2824
108	343	2810
109	345	2795
110	347	2779
111	348	2762
112	350	2749
113	352	2736
114	354	2727
115	356	2718
116	358	2702
117	359	2688
118	361	2672
119	362	2657
120	364	2645
121	365	2630
122	368	2624
123	369	2612
124	371	2599
125	372	2585
126	373	2569
127	374	2554
128	376	2540
129	377	2526
130	378	2513
131	380	2500
132	382	2491
133	384	2482
134	385	2472
135	387	2460
136	388	2447
137	389	2433
138	390	2421
139	392	2410
140	394	2402
141	395	2392
142	398	2385
143	400	2378
144	401	2366
145	402	2355
146	403	2343
147	406	2337
148	407	2328
149	409	2320
150	411	2312
151	413	2306
152	414	2295
153	415	2285
154	417	2274
155	418	2265
156	419	2254
157	421	2244
158	423	2237
159	424	2229
160	425	2217
161	427	2211
162	429	2206
163	431	2200
164	433	2192
165	434	2184
166	436	2176
167	438	2170
168	440	2164
169	447	2183
170	449	2181
171	452	2179
172	456	2180
173	458	2175
174	459	2168
175	461	2160
176	463	2153
177	464	2144
178	466	2138
179	467	2130
180	469	2123
181	471	2118
182	473	2112
183	474	2104
184	476	2097
185	477	2089
186	479	2083
187	480	2077
188	482	2070
189	483	2063
190	486	2058
191	487	2050
192	488	2043
193	490	2035
194	491	2029
195	493	2024
196	495	2017
197	496	2012
198	498	2005
199	500	2001
200	502	1995
201	503	1988
202	505	1984
203	507	1978
204	508	1973
205	510	1966
206	512	1962
207	514	1958
208	516	1953
209	517	1947
210	519	1942
211	521	1937
212	522	1931
213	524	1925
214	527	1924
215	529	1921
216	531	1917
217	532	1911
218	534	1905
219	536	1902
220	538	1896
221	539	1892
222	541	1888
223	544	1885
224	546	1881
225	548	1877
226	550	1874
227	552	1869
228	554	1867
229	556	1863
230	558	1860
231	561	1857
232	562	1853
233	564	1846
234	565	1841
235	567	1836
236	569	1834
237	571	1829
238	573	1824
239	575	1822
240	577	1818
241	578	1813
242	580	1808
243	581	1802
244	583	1797
245	584	1792
246	586	1787
247	587	1782
248	589	1778
249	591	1775
250	593	1771
251	595	1767
252	597	1763
253	598	1758
254	600	1755
255	602	1750
256	604	1749
257	607	1748
258	609	1743
259	611	1741
260	614	1738
261	616	1735
262	618	1733
263	621	1731
264	623	1728
265	624	1724
266	626	1719
267	628	1716
268	630	1712
269	631	1708
270	633	1704
271	636	1702
272	637	1698
273	639	1695
274	641	1691
275	642	1686
276	644	1683
277	648	1685
278	650	1681
279	653	1679
280	655	1676
281	656	1672
282	658	1668
283	660	1664
284	662	1661
285	663	1657
286	666	1656
287	668	1653
288	670	1649
289	672	1645
290	675	1645
291	677	1643
292	680	1642
293	682	1638
294	684	1635
295	686	1632
296	688	1629
297	690	1626
298	691	1622
299	693	1618
300	694	1613
301	696	1608
302	697	1605
303	699	1600
304	700	1596
305	701	1591
306	703	1587
307	705	1585
308	707	1582
309	709	1579
310	711	1576
311	712	1571
312	714	1568
313	715	1563
314	717	1559
315	718	1555
316	720	1552
317	722	1549
318	724	1546
319	725	1542
320	727	1538
321	728	1534
322	730	1530
323	731	1526
324	732	1522
325	734	1518
326	736	1514
327	737	1511
328	738	1507
329	740	1502
330	741	1499
331	743	1495
332	744	1491
333	746	1488
334	748	1485
335	750	1482
336	752	1479
337	754	1476
338	755	1472
339	756	1468
340	757	1464
341	759	1460
342	760	1456
343	761	1452
344	763	1450
345	765	1446
346	766	1443
347	768	1439
348	769	1435
349	770	1431
350	772	1427
351	773	1424
352	774	1420
353	776	1416
354	778	1414
355	779	1410
356	781	1407
357	782	1404
358	784	1400
359	785	1397
360	789	1396
361	790	1393
362	792	1390
363	794	1387
364	795	1384
365	797	1381
366	799	1378
367	800	1374
368	801	1371
369	803	1367
370	804	1363
371	805	1360
